Question,Answer,File,URL
What is the purpose of the Indigenous Recruitment team at SFU?,To connect prospective students with various supports and resources throughout their time at SFU.,0_13,https://www.sfu.ca/students/indigenous/programs-and-resources/indigenous-recruitment.html
How can prospective students at SFU access support and resources?,The Indigenous Recruitment team can help connect prospective students with various supports and resources throughout their time at SFU.,0_13,https://www.sfu.ca/students/indigenous/programs-and-resources/indigenous-recruitment.html
Who is the Indigenous Student Recruitment Liaison Coordinator at SFU?,The provided context does not specify the name of the Indigenous Student Recruitment Liaison Coordinator at SFU.,0_13,https://www.sfu.ca/students/indigenous/programs-and-resources/indigenous-recruitment.html
How can I contact the Indigenous Student Recruitment team at SFU?,You can contact the Indigenous Student Recruitment team at SFU via email at indigenous_students@sfu.ca.,0_13,https://www.sfu.ca/students/indigenous/programs-and-resources/indigenous-recruitment.html
Where is SFU's main campus located?,"8888 University Drive, Burnaby, B.C., Canada",0_13,https://www.sfu.ca/students/indigenous/programs-and-resources/indigenous-recruitment.html
Which Indigenous peoples' traditional territories does SFU reside on?,"Musqueam, Squamish, Tsleil-Waututh, Katzie, Kwikwetlem, Qayqayt, Kwantlen, Semiahmoo, Tsawwassen",0_13,https://www.sfu.ca/students/indigenous/programs-and-resources/indigenous-recruitment.html
What are the address details for Simon Fraser University?,"8888 University Drive  
Burnaby, B.C.  
Canada V5A 1S6",0_13,https://www.sfu.ca/students/indigenous/programs-and-resources/indigenous-recruitment.html
What does SFU acknowledge about its location in relation to Indigenous peoples?,"SFU respectfully acknowledges the xʷməθkʷəy̓əm (Musqueam), Sḵwx̱wú7mesh Úxwumixw (Squamish), səlilwətaɬ (Tsleil-Waututh), q̓íc̓əy̓ (Katzie), kʷikʷəƛ̓əm (Kwikwetlem), Qayqayt, Kwantlen, Semiahmoo, and Tsawwassen peoples on whose unceded traditional territories our three campuses reside.",0_13,https://www.sfu.ca/students/indigenous/programs-and-resources/indigenous-recruitment.html
Where can I find more information about pathways to education at SFU?,Uncover pathways toward your educational journey here at SFU. The Indigenous Recruitment team can help connect prospective students with various supports and resources throughout your time at SFU.,0_13,https://www.sfu.ca/students/indigenous/programs-and-resources/indigenous-recruitment.html
"What legal information is provided at the bottom of the webpage (e.g., Terms & Conditions, Privacy Policy)?","Terms & Conditions  
Privacy policy",0_13,https://www.sfu.ca/students/indigenous/programs-and-resources/indigenous-recruitment.html
What is celebrated during National Indigenous History Month in June?  ,"The cultures and contributions of the First Nations, Inuit, and Métis peoples of Canada.",0_6_1_1_28,http://www.sfu.ca/students/indigenous/events/national-indigenous-peoples-month.html
When is National Indigenous Peoples Day observed?  ,June 21,0_6_1_1_28,http://www.sfu.ca/students/indigenous/events/national-indigenous-peoples-month.html
Who proclaimed June 21 as the day to celebrate Indigenous Peoples in Canada?  ,Roméo LeBlanc,0_6_1_1_28,http://www.sfu.ca/students/indigenous/events/national-indigenous-peoples-month.html
What is the purpose of National Indigenous Peoples Day?  ,"To celebrate the cultures and contributions of the First Nations, Inuit, and Métis peoples of Canada, acknowledge Indigenous Peoples, and learn about their histories, cultures, and ways of life.",0_6_1_1_28,http://www.sfu.ca/students/indigenous/events/national-indigenous-peoples-month.html
How can someone practice cultural appreciation instead of cultural appropriation?  ,"Educate yourself on the significance of an item or design.  
Buy from Indigenous artists.",0_6_1_1_28,http://www.sfu.ca/students/indigenous/events/national-indigenous-peoples-month.html
What is the significance of buying from Indigenous artists?  ,"Buying from Indigenous artists supports their communities, helps preserve and promote Indigenous cultures and traditions, and ensures respectful appreciation rather than cultural appropriation.",0_6_1_1_28,http://www.sfu.ca/students/indigenous/events/national-indigenous-peoples-month.html
What types of events did the ISC and FNMISA host in June 2022 to celebrate Indigenous cultures?  ,"ArtsLIVE performances, nature walks, Indigenous Market with vendors, artists, makers, and entrepreneurs.",0_6_1_1_28,http://www.sfu.ca/students/indigenous/events/national-indigenous-peoples-month.html
Who are some of the Indigenous performers and dancers highlighted during ArtsLIVE performances?  ,"Kevin Kelly and Michael Kelly-Gabriel, Eagle Song Dancers, Madeline McCallum, Sandy Scofield, Wild Moccasin Dancers, Git Hayetsk Dancers, Alex Wells, Nyla Carpentier",0_6_1_1_28,http://www.sfu.ca/students/indigenous/events/national-indigenous-peoples-month.html
"What is Lhuḵw’lhuḵw’áyten, and what activity was led there?  ","Lhuḵw’lhuḵw’áyten is the Sḵwx̱wú7mesh placename for Burnaby Mountain, and a nature walk was led there.",0_6_1_1_28,http://www.sfu.ca/students/indigenous/events/national-indigenous-peoples-month.html
What was the focus of the inaugural Indigenous Market at SFU?  ,"Showcasing gifts from Indigenous vendors, artists, makers, and entrepreneurs.",0_6_1_1_28,http://www.sfu.ca/students/indigenous/events/national-indigenous-peoples-month.html
Where is Simon Fraser University located?  ,"Burnaby, B.C., Canada",0_6_1_1_28,http://www.sfu.ca/students/indigenous/events/national-indigenous-peoples-month.html
