name,title,relevance,link
0,Indigenous Student Centre - Simon Fraser University,2,https://www.sfu.ca/students/indigenous.html
0_1,About Us - Indigenous Student Centre - Simon Fraser University,2,https://www.sfu.ca/students/indigenous/about-us.html
0_2,Student Spaces - Indigenous Student Centre - Simon Fraser University,2,https://www.sfu.ca/students/indigenous/about-us/student-spaces.html
0_3,Contact Us - Indigenous Student Centre - Simon Fraser University,2,https://www.sfu.ca/students/indigenous/about-us/contact-us.html
0_4,ISC Feedback Form - Indigenous Student Centre - Simon Fraser University,2,https://www.sfu.ca/students/indigenous/about-us/isc-x-fnmisa-town-halls.html
0_5,Programs and Resources - Indigenous Student Centre - Simon Fraser University,2,https://www.sfu.ca/students/indigenous/programs-and-resources.html
0_6,Academic Support - Indigenous Student Centre - Simon Fraser University,2,https://www.sfu.ca/students/indigenous/programs-and-resources/academic-support.html
0_7,Cultural Connections - Indigenous Student Centre - Simon Fraser University,2,https://www.sfu.ca/students/indigenous/programs-and-resources/culturalconnections.html
0_8,Peer Cousins Mentorship Program - Indigenous Student Centre - Simon Fraser University,2,https://www.sfu.ca/students/indigenous/programs-and-resources/peer-cousins.html
0_9,"First Nations, Métis & Inuit Student Association - Indigenous Student Centre - Simon Fraser University",2,https://www.sfu.ca/students/indigenous/programs-and-resources/first-nations-metis-inuit-student-association.html
0_10,Careers and Volunteer Services - Indigenous Student Centre - Simon Fraser University,2,https://www.sfu.ca/students/indigenous/programs-and-resources/careers-and-volunteer-services.html
0_11,Financial Aid and Awards - Indigenous Student Centre - Simon Fraser University,2,https://www.sfu.ca/students/indigenous/programs-and-resources/finances.html
0_12,Indigenous Learning Living Community - Indigenous Student Centre - Simon Fraser University,2,https://www.sfu.ca/students/indigenous/programs-and-resources/illc.html
0_13,Indigenous Recruitment - Indigenous Student Centre - Simon Fraser University,2,https://www.sfu.ca/students/indigenous/programs-and-resources/indigenous-recruitment.html
0_14,Sexual Violence Support & Prevention Office - Indigenous Student Centre - Simon Fraser University,2,https://www.sfu.ca/students/indigenous/programs-and-resources/sexual-violence-support---prevention-office.html
0_15,Health and Wellbeing - Indigenous Student Centre - Simon Fraser University,2,https://www.sfu.ca/students/indigenous/wellness.html
0_16,Indigenous Counselling Services - Indigenous Student Centre - Simon Fraser University,2,https://www.sfu.ca/students/indigenous/wellness/IndigenousCounsellingServices.html
0_17,Wellness Program - Indigenous Student Centre - Simon Fraser University,2,https://www.sfu.ca/students/indigenous/wellness/Wellness-Program.html
